"EU TB","EU Imports","EU Exports","China TB","China Imports","China Exports","China Export Prices","China Import Prices","DE Exports in T","DE Imports in T","DE TB","DE Export Prices","DE Import Prices","US TB","US Exports","US Imports","US Export Prices","US Import Prices","FR TB","FR Imports","FR Exports","FR Export Prices","FR Import Prices","GP Imports","GB Exports","GB Import Prices","GB Export Prices","GB Trade Balance","IT Exports","IT Imports","IT Trade Balance","IT Import Prices","IT Export Prices","JP TB","JP Imports","JP Exports","JP Export Prices","JP Import Prices","NL Exports","NL Imports","NL TB","NL Export Prices","NL Import Prices","Canada Exports","Canada Imports","Canada TB","Canada Import Prices","Canada Export Prices","Korea Exports","Korea Imports","Korea Export Prices","Korea Import Prices","Korea TB","HK Exports","HK Imports","HK TB","MX Exports","MX Imports","MX TB"
1.52e+10,1.61113e+11,1.76327e+11,5.68e+10,1.6405e+11,2.2085e+11,105.3,112.6,9.785e+10,7.995e+10,2e+10,95.45,94.42,-5.521e+10,1.36892e+11,2.15687e+11,126.1,124.4,-2.988e+09,4.293e+10,3.9942e+10,116.4,101.1,4.1734e+10,2.8159e+10,NA,NA,-4.624e+09,3.8692e+10,3.6718e+10,2.786e+09,94.34,91.99,-2.04614e+11,6.866e+12,6.661e+12,106.7,118.2,4.3469e+10,3.8592e+10,4.877e+09,95,95.9,4.5413e+10,5.1168e+10,-5.755e+09,105.9,97.2,4.8207e+10,4.4025e+10,106.19,105.46,4.182e+09,3.39938e+11,3.91187e+11,-5.1249e+10,3.7983e+10,3.7979e+10,1.905e+09
-1e+08,1.83152e+11,1.83079e+11,3.8338e+10,1.7967e+11,2.18008e+11,103.2,103.8,9.946e+10,8.07e+10,1.86e+10,95.54,94.24,-4.892e+10,1.3858e+11,2.10577e+11,125.3,124.6,-6.809e+09,4.7522e+10,4.0713e+10,117.2,101.2,4.6667e+10,2.969e+10,NA,NA,-8.354e+09,3.9892e+10,3.5379e+10,415505000,97.62,94.65,-1.34407e+11,6.529e+12,6.395e+12,103.9,112,4.6221e+10,4.1333e+10,4.888e+09,93.9,92.7,4.7883e+10,5.1927e+10,-4.044e+09,105.1,102.1,4.6169e+10,4.5153e+10,104.74,105.29,1.016e+09,3.48701e+11,3.59e+11,-1.0299e+10,3.7473e+10,3.8613e+10,-4.626e+09
1.7e+10,1.68544e+11,1.85532e+11,2.959e+09,1.32371e+11,1.3533e+11,109.6,105,9.757e+10,8.032e+10,1.74e+10,95.63,94.51,-4.762e+10,1.39872e+11,2.10981e+11,126.1,125.9,-4.448e+09,4.5988e+10,4.154e+10,116.7,101.9,4.7524e+10,2.9807e+10,NA,NA,-9.225e+09,3.9549e+10,3.5158e+10,3.516e+09,100.04,95.6,-3.6426e+10,6.725e+12,6.689e+12,104.9,113.1,4.5924e+10,3.9005e+10,6.919e+09,94.9,94.2,4.8222e+10,5.1367e+10,-3.146e+09,103.9,105.6,3.9482e+10,3.6651e+10,105.18,107.63,2.83e+09,2.28674e+11,2.77508e+11,-4.8834e+10,3.848e+10,3.8319e+10,1.364e+09
2.13e+10,1.83921e+11,2.05262e+11,3.1367e+10,1.66867e+11,1.98234e+11,102.2,102,1.0125e+11,8.191e+10,1.97e+10,95.73,94.51,-4.81e+10,1.40456e+11,2.12445e+11,127,126.6,-4.604e+09,5.0507e+10,4.5903e+10,116.7,101.9,4.8511e+10,3.0808e+10,NA,NA,-9.032e+09,4.0117e+10,3.5571e+10,4.952e+09,105.83,98.17,-2.37932e+11,6.801e+12,6.563e+12,105.7,114.8,4.9505e+10,4.1911e+10,7.593e+09,94.4,94.1,5.0285e+10,5.2669e+10,-2.384e+09,105.1,107.6,4.7003e+10,4.1992e+10,105.38,109.44,5.011e+09,3.43641e+11,4.02883e+11,-5.9241e+10,3.836e+10,3.8214e+10,1.488e+09
1.35e+10,1.7886e+11,1.92398e+11,1.3074e+10,1.80532e+11,1.93606e+11,103.9,102,9.708e+10,7.967e+10,1.76e+10,95.91,94.79,-4.959e+10,1.36155e+11,2.10588e+11,127.1,126.8,-5.239e+09,4.8299e+10,4.306e+10,117.5,102.6,4.2064e+10,2.7421e+10,NA,NA,-5.584e+09,3.9955e+10,3.5822e+10,3.193e+09,98.92,96.03,-8.9151e+10,6.594e+12,6.505e+12,106.1,115.1,4.7927e+10,4.1723e+10,6.204e+09,93.7,94.9,5.0782e+10,5.1882e+10,-1.1e+09,105.5,108.3,4.8781e+10,4.5047e+10,106.09,111.37,3.734e+09,3.21517e+11,3.56609e+11,-3.5091e+10,3.9029e+10,3.8771e+10,1.51e+09
2.01e+10,1.82492e+11,2.02632e+11,4.1145e+10,1.72773e+11,2.13918e+11,103.4,107.9,9.652e+10,7.846e+10,1.96e+10,95.82,94.7,-5.084e+10,1.39405e+11,2.15971e+11,126.7,127,-4.432e+09,4.9258e+10,4.4826e+10,116.9,102.5,4.111e+10,2.8456e+10,NA,NA,-3.174e+09,4.0401e+10,3.6445e+10,5.721e+09,92.4,95.32,-5.17754e+11,6.784e+12,6.267e+12,104.7,114.6,4.9437e+10,4.252e+10,6.917e+09,94.7,93.5,5.2395e+10,5.271e+10,-315100000,105,107.7,4.5704e+10,4.362e+10,108.79,113.74,2.084e+09,3.43065e+11,3.77774e+11,-3.4709e+10,3.9111e+10,3.8434e+10,957135000
1.83e+10,1.70042e+11,1.88336e+11,4.9649e+10,1.62817e+11,2.12466e+11,105.1,105.9,9.769e+10,8.06e+10,1.8e+10,95.63,93.41,-4.857e+10,1.3677e+11,2.11063e+11,126,125.6,-4.908e+09,4.7019e+10,4.2111e+10,116.3,101.3,4.0315e+10,2.954e+10,NA,NA,-9.76e+08,4.0739e+10,3.5562e+10,5.906e+09,90.11,94.08,-8.2235e+10,6.601e+12,6.519e+12,102.9,112.2,4.6623e+10,3.9674e+10,6.948e+09,92.8,93,4.9836e+10,5.1108e+10,-1.272e+09,104.5,104,4.4008e+10,4.0105e+10,106.38,109.52,3.904e+09,3.09607e+11,3.64794e+11,-5.5187e+10,3.8852e+10,3.7618e+10,2.542e+09
2.14e+10,1.8455e+11,2.05993e+11,4.4015e+10,1.77758e+11,2.21772e+11,103.8,103,9.747e+10,7.973e+10,1.88e+10,95.73,93.22,-4.846e+10,1.37794e+11,2.11175e+11,126.2,125.6,-4.608e+09,4.9809e+10,4.5201e+10,116.6,101.4,4.1706e+10,3.2021e+10,NA,NA,2.86e+08,4.0282e+10,3.5654e+10,7.997e+09,90.11,94.04,-2.44491e+11,6.732e+12,6.488e+12,102.7,110.1,4.7425e+10,4.167e+10,5.756e+09,93.4,92.5,4.9445e+10,5.1111e+10,-1.666e+09,103.2,103.9,4.6078e+10,4.3762e+10,106.01,110.39,2.316e+09,3.38618e+11,3.7079e+11,-3.2172e+10,3.8511e+10,3.8359e+10,-1.291e+09
1.34e+10,1.63958e+11,1.77337e+11,3.4716e+10,1.80157e+11,2.14873e+11,103,100.5,9.746e+10,7.903e+10,1.94e+10,95.63,92.67,-4.877e+10,1.37488e+11,2.11311e+11,125.5,124.9,-5.345e+09,3.9677e+10,3.4333e+10,116.3,100.8,4.274e+10,3.0379e+10,NA,NA,-2.372e+09,3.9532e+10,3.4884e+10,2.785e+09,89.37,93.7,-1.89119e+11,6.525e+12,6.336e+12,101.4,109.4,4.5411e+10,3.8814e+10,6.597e+09,92.4,92.4,5.0263e+10,5.1834e+10,-1.572e+09,104.2,104.2,4.402e+10,4.2457e+10,107.46,111.17,1.563e+09,3.52727e+11,3.80777e+11,-2.8049e+10,3.9559e+10,3.8159e+10,402708000
1.75e+10,1.78067e+11,1.9553e+11,3.9078e+10,1.79137e+11,2.18215e+11,102,98.6,9.953e+10,8.175e+10,1.93e+10,95.73,93.22,-4.448e+10,1.36669e+11,2.06127e+11,125.1,125,-5.861e+09,4.6738e+10,4.0876e+10,116.9,101.5,4.2875e+10,3.0577e+10,NA,NA,-2.415e+09,4.0737e+10,3.6154e+10,2.996e+09,94.9,96.84,-9.219e+09,6.438e+12,6.429e+12,101.4,108.5,4.8071e+10,4.08e+10,7.271e+09,92.8,92.6,4.9633e+10,5.0509e+10,-876100000,104,103.6,4.4629e+10,3.8741e+10,106.56,110.89,5.888e+09,3.47685e+11,3.79325e+11,-3.1639e+10,3.8084e+10,3.7552e+10,-151601000
